x,y,z,dominio
0,0,-2,solo
5,2,-3,solo
8,1,-2.5,solo
2,6,-4,solo

10,3,-6,arenito
14,4,-7,arenito
12,8,-6.5,arenito
9,7,-7.2,arenito

18,5,-9,calcario
22,6,-10,calcario
20,9,-9.5,calcario
17,8,-10.2,calcario

25,4,-12,granito
29,6,-13,granito
27,9,-12.4,granito
24,8,-13.2,granito

32,5,-15,xisto
36,6,-16,xisto
34,10,-15.5,xisto
31,9,-16.4,xisto

40,4,-18,quartzo
44,6,-19,quartzo
42,9,-18.6,quartzo
39,8,-19.3,quartzo

48,5,-21,basalto
52,7,-22,basalto
50,10,-21.4,basalto
47,9,-22.2,basalto

56,6,-24,argila
60,7,-25,argila
58,11,-24.7,argila
55,10,-25.4,argila

64,5,-27,gnaisse
68,7,-28,gnaisse
66,10,-27.5,gnaisse
63,9,-28.3,gnaisse

72,6,-30,dolomito
76,8,-31,dolomito
74,11,-30.6,dolomito
71,10,-31.4,marmore
