Title,Description,Priority,Labels,Project,Estimate
"MVP: preparar ambiente de produção inicial","Fechar checklist mínima para colocar a plataforma online. Incluir variáveis de ambiente, base de dados, static/media, domínio e validação pós-deploy.",1,"deploy,mvp,plataforma","Go Live MVP",5
"MVP: validar permissões reais por perfil","Rever acessos de superuser, platform admin, empresa admin, empregado e individual. Confirmar que as páginas visíveis no menu abrem sem erros nem perdas de navbar.",1,"permissions,mvp,plataforma","Go Live MVP",3
"Plataforma: consolidar gestão de features por empresa e individual","Testar e estabilizar o novo painel de features com checkboxes, overrides por empresa/conta individual e coerência com os menus da plataforma.",2,"permissions,plataforma,data","Plataforma e Permissões",3
"Plataforma: exportação e limpeza segura de datasets","Validar a página Úteis para backup e limpeza de dados. Confirmar instruções, export ZIP e ordem segura de apagamento.",2,"data,plataforma","Plataforma e Permissões",2
"Projetos: testar fluxo principal ponta a ponta","Executar testes funcionais nos fluxos de projeto, furo, medição, registo diário, fotos de amostra e dashboards para garantir que o MVP operacional está utilizável.",1,"mvp,plataforma","Projetos e Operação",5
"AI: estabilizar navegação superuser na área AI","Confirmar que AI Visual, Chatbox, Memória Operacional, Nova análise e Histórico AI funcionam bem sob a navbar da plataforma.",2,"ai,permissions,ux","AI e OCR",2
"AI: validar memória operacional com dados reais de furos","Testar consultas de memória operacional e associação de histórico de furos por zona para garantir respostas úteis e coerentes.",2,"ai,data","AI e OCR",3
"AI: preparar dataset exportável para treino futuro","Confirmar que análises, deteções, presets, memória de trabalho e base operacional de furos ficam exportáveis para uso futuro da AI online.",2,"ai,data","AI e OCR",3
"OCR: manter em standby com ponto de retoma claro","Documentar e rever o estado atual do OCR de relatórios, incluindo segmentação, falsos positivos, retângulos nomeados, presets e limitações atuais.",3,"ai,ocr,standby,research","AI e OCR",2
"Geologia: validar hub geológico e integrações já disponíveis","Testar navegação entre Geologia, DJI e Drone S_F para garantir que a parte já construída não bloqueia o arranque online.",3,"geologia,plataforma","Geologia e Drones",3
"Drone: manter DJI e Drone S_F em pausa controlada","Consolidar a documentação de pausa das frentes de drone e garantir que o contexto de retoma futura está guardado.",4,"drone,standby,research","Geologia e Drones",2
"Deploy: criar plano de testes pós-go-live","Definir uma checklist simples para testar login, dashboards, AI, exports, permissões e dados logo após publicação online.",1,"deploy,mvp,ux","Go Live MVP",2
